Sensor ID,Type,Battery Level (%),Next Maintenance Date,Warranty Expiration Date,Start Date
Sensor_1,Turbidity,42,2025-04-18 12:08,2025-04-10 00:00,2022-02-09
Sensor_2,Temperature,58,2025-06-02 12:08,2027-04-27 00:00,2021-10-25
Sensor_3,Dissolved Oxygen,31,2024-09-24 12:08,2026-02-15 00:00,2022-04-01
Sensor_4,Dissolved Oxygen,1,2024-07-30 12:08,2025-09-11 00:00,2020-11-03
Sensor_5,Ammonia Nitrogen,65,2025-01-05 12:08,2024-12-15 00:00,2022-08-07
Sensor_6,Nitrogen,41,2024-06-18 12:08,2025-05-07 00:00,2021-07-01
Sensor_7,Conductivity,57,2024-07-31 12:08,2027-03-19 00:00,2022-03-18
Sensor_8,pH,35,2024-07-11 12:08,2026-07-07 00:00,2020-03-14
Sensor_9,Phosphorus,11,2024-12-22 12:08,2024-11-04 00:00,2020-10-24
Sensor_10,Permanganate,46,2024-10-26 12:08,2027-04-04 00:00,2022-07-08
